id;sentence;acceptable;error_type;detailed_sou;predict;coincide;;;;;CoLA;;;;;;;;
1;They are sheeps.;0;Morphology;kn222a30w;1;0;0;0;1;0;Accept_zero;Accept_one;Accuracy_orig_in_domain;Accuracy_orig_out_domain;mcc_best_in_domain;mcc_orig_in_domain;;;
2;Those are the girl's boxes.;1;0;kn222a30w;1;1;0;1;0;0;30;70;0,77;0,73;0,738;0,341;;;
3;Are those the planes?;0;Morphology;kn222a30w;1;0;0;0;1;0;;;;;;;;;
4;These are the mice.;0;Morphology;kn222a30w;1;0;0;0;1;0;CoLA_our_run;;;;;;;;
5;I study at Department of Software Engineering.;0;Morphology;kn222a30w;1;0;0;0;1;0;Accuracy;loss;mcc_in_domain;;;;;;
6;She works like an economist.;0;Semantics;kn222a30w;1;0;0;0;1;0;0,82;0,61;0,488;;;;;;
7;She is high, but lower than me.;0;Semantics;kn222a30w;1;0;0;0;1;0;;;;;;;;;
8;Her eyes is green.;0;Syntax;kn222a30w;1;0;0;0;1;0;ALL;;;;;;;;
9;Her hair is blond.;1;0;kn222a30w;1;1;0;1;0;0;Correct predictions;zero-zero;one-one;Accuracy;Accept_zero;Accept_one;wrong_accept;wrong_deaccept;mcc
10;I want to tell you about my mother.;1;0;kn222a30w;1;1;0;1;0;0;409;62;347;0,818;150;350;88;3;0,55154
11;She is fond of reading.;1;0;kn222a30w;1;1;0;1;0;0;;;;;;;;;
12;I think that my knowledge is so that simple.;0;Syntax;kn222a30w;1;0;0;0;1;0;;;;;;;;;
13;Sometimes I miss the ability to watch a film or go training.;0;Semantics;kn222a30w;1;0;0;0;1;0;;;;;;;;;
14;He woke up when it is already quite light.;0;Syntax;kn222a30w;1;0;0;0;1;0;;;;;;;;;
15;He had just time to take a cold shower and a cup of tea with bread and butter.;0;Semantics;kn222a30w;1;0;0;0;1;0;;;;;;;;;
16;They returned home late at night, tired but happy.;1;0;kn222a30w;1;1;0;1;0;0;;;;;;;;;
17;When did you left home for institute yesterday?;0;Syntax;kn222a30w;0;1;1;0;0;0;;;;;;;;;
18;I have just get a letter from you.;0;Syntax;kn222a30w;1;0;0;0;1;0;;;;;;;;;
19;I was so happy to read about your last journey!;1;0;kn222a30w;1;1;0;1;0;0;;;;;;;;;
20;The Eiffel Tower make this journey unforgettable.;0;Syntax;kn222a30w;1;0;0;0;1;0;;;;;;;;;
21;My uncle's house is made of wood.;1;0;kn222a29m;1;1;0;1;0;0;;;;;;;;;
22;These are mice.;1;0;kn222a29m;1;1;0;1;0;0;;;;;;;;;
23;He works for a construction company.;1;0;kn222a29m;1;1;0;1;0;0;;;;;;;;;
24;This car is his.;1;0;kn222a29m;1;1;0;1;0;0;;;;;;;;;
25;How long are you going to stay there?;1;0;kn222a29m;1;1;0;1;0;0;;;;;;;;;
26;What you bought at the shop yesterday?;0;Syntax;kn222a29m;1;0;0;0;1;0;;;;;;;;;
27;When your lessons begin on Monday? ;0;Syntax;kn222a29m;1;0;0;0;1;0;;;;;;;;;
28;They was having tea when I came home.;0;Syntax;kn222a29m;1;0;0;0;1;0;;;;;;;;;
29;We went to the country yesterday, but the rain has spoiled all the pleasure. ;0;Syntax;kn222a29m;1;0;0;0;1;0;;;;;;;;;
30;I have forgotten to buy a new one light bulb. ;0;Semantics;kn222a29m;0;1;1;0;0;0;;;;;;;;;
31;The sun have not risen yet, but the sky in the east is getting lighter every minute.;0;Syntax;kn222a29m;1;0;0;0;1;0;;;;;;;;;
32;Our laboratory is provided with all necessary equipment next year.;0;Syntax;kn222a29m;1;0;0;0;1;0;;;;;;;;;
33;The experiments will be completed by the end of the week.;0;Syntax;kn222a29m;1;0;0;0;1;0;;;;;;;;;
34;The cake has eaten by the children.;0;Syntax;kn222a29m;0;1;1;0;0;0;;;;;;;;;
35;Sue has hired by Microsoft Company.;0;Syntax;kn222a29m;0;1;1;0;0;0;;;;;;;;;
36;The windows are being washing by Mrs. Fox now.;0;Syntax;kn222a29m;0;1;1;0;0;0;;;;;;;;;
37;Usually the experiments are carried out every day, but they was made yesterday.;0;Syntax;kn222a29m;1;0;0;0;1;0;;;;;;;;;
38;Litter must not be left here.;1;0;kn222a29m;1;1;0;1;0;0;;;;;;;;;
39;The students usually don't greet this famous lecturer warmly.;0;Syntax;kn222a29m;1;0;0;0;1;0;;;;;;;;;
40;Does my mother send for me doctor, when I fall ill?;0;Syntax;kn222a29m;0;1;1;0;0;0;;;;;;;;;
41;Are these an arm-chairs?;0;Morphology;kn222a28w;0;1;1;0;0;0;;;;;;;;;
42;Those are the girls's box.;0;Morphology;kn222a28w;1;0;0;0;1;0;;;;;;;;;
43;His hair is fair-haired.;0;Morphology;kn222a28w;1;0;0;0;1;0;;;;;;;;;
44;All students of our group attended meeting.;0;Morphology;kn222a28w;1;0;0;0;1;0;;;;;;;;;
45;We couldn't get to the concert tickets yesterday because we had not enough money.;0;Syntax;kn222a28w;1;0;0;0;1;0;;;;;;;;;
46;He had a doctor when he grows up.;0;Syntax;kn222a28w;1;0;0;0;1;0;;;;;;;;;
47;Did your father at work yesterday?;0;Syntax;kn222a28w;1;0;0;0;1;0;;;;;;;;;
48;He have three lessons every day.;0;Syntax;kn222a28w;0;1;1;0;0;0;;;;;;;;;
49;We are leaving on next Sunday.;0;Morphology;kn222a28w;1;0;0;0;1;0;;;;;;;;;
50;Shall we meet in the railway station?;0;Morphology;kn222a28w;1;0;0;0;1;0;;;;;;;;;
51;Whom do you see on these pictures?;0;Morphology;kn222a28w;1;0;0;0;1;0;;;;;;;;;
52;He goes to plant underground.;0;Morphology;kn222a28w;0;1;1;0;0;0;;;;;;;;;
53;I presented this camera by my friend.;0;Syntax;kn222a28w;0;1;1;0;0;0;;;;;;;;;
54;She will be not listening to the news.;0;Syntax;kn222a28w;1;0;0;0;1;0;;;;;;;;;
55;Does Betty often take her younger brother for a walk?;1;0;kn222a28w;1;1;0;1;0;0;;;;;;;;;
56;As for Canada, the best season to visit this country is summer.;1;0;kn222a28w;1;1;0;1;0;0;;;;;;;;;
57;There is only one way out of this situation.;1;0;kn222a28w;1;1;0;1;0;0;;;;;;;;;
58;There is nothing to worry about.;1;0;kn222a28w;1;1;0;1;0;0;;;;;;;;;
59;We arrived in London on the seventh of October.;1;0;kn222a28w;1;1;0;1;0;0;;;;;;;;;
60;I am fond of cycling.;1;0;kn222a28w;1;1;0;1;0;0;;;;;;;;;
61;She is fond of to travel.;0;Morphology;kn222a27m;0;1;1;0;0;0;;;;;;;;;
62;I have two brothers and sister. ;0;Morphology;kn222a27m;1;0;0;0;1;0;;;;;;;;;
63;There is coffee in the cup.;0;Morphology;kn222a27m;1;0;0;0;1;0;;;;;;;;;
64;May is fifth month of the year. ;0;Morphology;kn222a27m;1;0;0;0;1;0;;;;;;;;;
65;Diana is my older sister.;0;Semantics;kn222a27m;1;0;0;0;1;0;;;;;;;;;
66;They are absent at the institute last Friday.;0;Syntax;kn222a27m;1;0;0;0;1;0;;;;;;;;;
67;Are you have his telephone number?;0;Syntax;kn222a27m;0;1;1;0;0;0;;;;;;;;;
68;There is none in my car fuel.;0;Syntax;kn222a27m;0;1;1;0;0;0;;;;;;;;;
69;There is a good concert yesterday.;0;Syntax;kn222a27m;1;0;0;0;1;0;;;;;;;;;
70;Twice a week in us laboratory work. ;0;Syntax;kn222a27m;0;1;1;0;0;0;;;;;;;;;
71;We have one in the morning dinner.;0;Syntax;kn222a27m;1;0;0;0;1;0;;;;;;;;;
72;We went with them last Sunday to the park.;0;Syntax;kn222a27m;1;0;0;0;1;0;;;;;;;;;
73;Is this the right way cinema?;0;Morphology;kn222a27m;0;1;1;0;0;0;;;;;;;;;
74;Your sister goes to school every day? ;0;Syntax;kn222a27m;1;0;0;0;1;0;;;;;;;;;
75;He looked at the clock.;1;0;kn222a27m;1;1;0;1;0;0;;;;;;;;;
76;Where is your sister ? ;1;0;kn222a27m;1;1;0;1;0;0;;;;;;;;;
77;He's never late.;1;0;kn222a27m;1;1;0;1;0;0;;;;;;;;;
78;What were you doing at eight o'clock yesterday?;1;0;kn222a27m;1;1;0;1;0;0;;;;;;;;;
79;We haven't received any letters from her lately.;1;0;kn222a27m;1;1;0;1;0;0;;;;;;;;;
80;He has been working here for fifteen years. ;1;0;kn222a27m;1;1;0;1;0;0;;;;;;;;;
81;My new dress is made of some silk.;0;Semantics;kn222a26m;1;0;0;0;1;0;;;;;;;;;
82;There is a garden in the front of our university.;0;Morphology;kn222a26m;1;0;0;0;1;0;;;;;;;;;
83;My dad working now.;0;Syntax;kn222a26m;1;0;0;0;1;0;;;;;;;;;
84;Sister lives on the another end of the city.;0;Semantics;kn222a26m;0;1;1;0;0;0;;;;;;;;;
85;There is some tea in the shelf on the cupboard.;0;Morphology;kn222a26m;1;0;0;0;1;0;;;;;;;;;
86;In present about 40% at the students have satellite or cable TV at home.;0;Morphology;kn222a26m;0;1;1;0;0;0;;;;;;;;;
87;If you give me your home address, I will write to him.;0;Semantics;kn222a26m;1;0;0;0;1;0;;;;;;;;;
88;Are those any laser printers?;0;Morphology;kn222a26m;0;1;1;0;0;0;;;;;;;;;
89;We usually have lunch at one in the morning.;0;Semantics;kn222a26m;1;0;0;0;1;0;;;;;;;;;
90;The newspapers is usually brought in the morning.;0;Syntax;kn222a26m;0;1;1;0;0;0;;;;;;;;;
91;Your story your tour to the Rome was amazing.;0;Morphology;kn222a26m;0;1;1;0;0;0;;;;;;;;;
92;I believe that in one time I'll go there.;0;Semantics;kn222a26m;1;0;0;0;1;0;;;;;;;;;
93;It is very massive and old building whith four forts at the corners.;0;Morphology;kn222a26m;0;1;1;0;0;0;;;;;;;;;
94;Inside it was a museum of old weapons, musical instruments, and the like.;0;Syntax;kn222a26m;1;0;0;0;1;0;;;;;;;;;
95;You've been very helpful.;1;0;kn222a26m;1;1;0;1;0;0;;;;;;;;;
96;Nina mispronounces a lot of words.;1;0;kn222a26m;1;1;0;1;0;0;;;;;;;;;
97;He is a first-year student. ;1;0;kn222a26m;1;1;0;1;0;0;;;;;;;;;
98;Dan is a promising basketball player.;1;0;kn222a26m;1;1;0;1;0;0;;;;;;;;;
99;His usual evening finishes with watching TV or playing his favourite computer games.;1;0;kn222a26m;1;1;0;1;0;0;;;;;;;;;
100;We will be back in no time. ;1;0;kn222a26m;1;1;0;1;0;0;;;;;;;;;
101;I want tell you about my family.;0;Morphology;mit222n1m;1;0;0;0;1;0;;;;;;;;;
102;She is found of bake.;0;Morphology;mit222n1m;0;1;1;0;0;0;;;;;;;;;
103;These engineers' work very important.;0;Morphology;mit222n1m;0;1;1;0;0;0;;;;;;;;;
104;My father is hight height.;0;Semantics;mit222n1m;0;1;1;0;0;0;;;;;;;;;
105;These are machines tool.;0;Morphology;mit222n1m;0;1;1;0;0;0;;;;;;;;;
106;Your teacher is younger than our.;0;Morphology;mit222n1m;1;0;0;0;1;0;;;;;;;;;
107;We very enjoyed our walk.;0;Syntax;mit222n1m;1;0;0;0;1;0;;;;;;;;;
108;When I fall ill, my mother doesn't spends for the doctor.;0;Syntax;mit222n1m;0;1;1;0;0;0;;;;;;;;;
109;He in hurred to catch 8 o'clock train.;0;Syntax;mit222n1m;0;1;1;0;0;0;;;;;;;;;
110;At the railway station he meeted three other boys from his group.;0;Morphology;mit222n1m;1;0;0;0;1;0;;;;;;;;;
111;They all haved small backpacks and fishing-rods.;0;Morphology;mit222n1m;0;1;1;0;0;0;;;;;;;;;
112;On a bus tour, you can best see the sights and culture of the people.;0;Syntax;mit222n1m;1;0;0;0;1;0;;;;;;;;;
113;You know how I like travel, excursion and everything connect with them.;0;Morphology;mit222n1m;0;1;1;0;0;0;;;;;;;;;
114;Whether cigarettes are liable to duty?;0;Syntax;mit222n1m;1;0;0;0;1;0;;;;;;;;;
115;I am looking forward to hearing from you soon!;1;0;mit222n1m;1;1;0;1;0;0;;;;;;;;;
116;Thank you very much for your letter.;1;0;mit222n1m;1;1;0;1;0;0;;;;;;;;;
117;It's good news you are going on a sightseeing bus tour of England. ;1;0;mit222n1m;1;1;0;1;0;0;;;;;;;;;
118;I have got much work to do today.;1;0;mit222n1m;1;1;0;1;0;0;;;;;;;;;
119;If you ask me about my opinion on travelling, I will tell you I am all for it. ;1;0;mit222n1m;1;1;0;1;0;0;;;;;;;;;
120;I wish I could travel with you too! ;1;0;mit222n1m;1;1;0;1;0;0;;;;;;;;;
121;Before going to university, my sister worked in a factory for two years.;0;Syntax;mit222n2m;1;0;0;0;1;0;;;;;;;;;
122;Has something happened?;0;Morphology;mit222n2m;1;0;0;0;1;0;;;;;;;;;
123;I'll ask she to ring me up tomorrow.;0;Morphology;mit222n2m;1;0;0;0;1;0;;;;;;;;;
124;This is screwdrivers.;0;Morphology;mit222n2m;1;0;0;0;1;0;;;;;;;;;
125;There were very a few people in the streets.;0;Morphology;mit222n2m;0;1;1;0;0;0;;;;;;;;;
126;Is no the matter with you?;0;Syntax;mit222n2m;1;0;0;0;1;0;;;;;;;;;
127;I haven't got nothing money at the moment.;0;Syntax;mit222n2m;0;1;1;0;0;0;;;;;;;;;
128;Over the past month I have 83 subscribers, but it is quite difficult. ;0;Syntax;mit222n2m;1;0;0;0;1;0;;;;;;;;;
129;That is water since is the most important substance in our life.;0;Syntax;mit222n2m;0;1;1;0;0;0;;;;;;;;;
130;I haven't seem him it that time.;0;Syntax;mit222n2m;0;1;1;0;0;0;;;;;;;;;
131;My friend living next to his office, he usually walks there.;0;Syntax;mit222n2m;0;1;1;0;0;0;;;;;;;;;
132;When he finishes his work?;0;Syntax;mit222n2m;1;0;0;0;1;0;;;;;;;;;
133;At the end of December it will be four months since we studying English at the university.;0;Syntax;mit222n2m;0;1;1;0;0;0;;;;;;;;;
134;We will go to in theatre tonight.;0;Morphology;mit222n2m;0;1;1;0;0;0;;;;;;;;;
135;When I arrived, the boys had been playing football for two hours. ;1;0;mit222n2m;1;1;0;1;0;0;;;;;;;;;
136;They have been staying at the hotel since Sunday.;1;0;mit222n2m;1;1;0;1;0;0;;;;;;;;;
137;My visa is for three months, but I'm going for two weeks. ;1;0;mit222n2m;1;1;0;1;0;0;;;;;;;;;
138;I live at home with my parents and my pets.;1;0;mit222n2m;1;1;0;1;0;0;;;;;;;;;
139;This is the end of the story.;1;0;mit222n2m;1;1;0;1;0;0;;;;;;;;;
140;We usually have three or four classes a day. ;1;0;mit222n2m;1;1;0;1;0;0;;;;;;;;;
141;My mother to comes from Ireland.;0;Syntax;mit222n3m;0;1;1;0;0;0;;;;;;;;;
142;My father born in Venice.;0;Syntax;mit222n3m;0;1;1;0;0;0;;;;;;;;;
143;I like riding horses, swimming, listening symphonic music and singing.;0;Morphology;mit222n3m;1;0;0;0;1;0;;;;;;;;;
144;A water consists of two molecules of hydrogen and one molecule of oxigen. ;0;Morphology;mit222n3m;1;0;0;0;1;0;;;;;;;;;
145;Were they at home tonight?;0;Semantics;mit222n3m;1;0;0;0;1;0;;;;;;;;;
146;Peter and Jim was at home when I called on them the other day.;0;Syntax;mit222n3m;1;0;0;0;1;0;;;;;;;;;
147;There is not in the telephone book your phonenumber.;0;Syntax;mit222n3m;0;1;1;0;0;0;;;;;;;;;
148;Yesterday were at the theatre.;0;Syntax;mit222n3m;0;1;1;0;0;0;;;;;;;;;
149;I decided that this job is not suitable for me.;0;Syntax;mit222n3m;1;0;0;0;1;0;;;;;;;;;
150;Now, many years later, I am fulfill my dream.;0;Syntax;mit222n3m;1;0;0;0;1;0;;;;;;;;;
151;Does this train stop at Lyon?;0;Morphology;mit222n3m;1;0;0;0;1;0;;;;;;;;;
152;The professor is going to the conferense on a week.;0;Morphology;mit222n3m;0;1;1;0;0;0;;;;;;;;;
